Hand { string: 23KAQ, score: 23dec, hand_type: HighCard, bid: 361}
Hand { string: 78Q8Q, score: 78c8c, hand_type: TwoPair, bid: 261}
Hand { string: 7KAKA, score: 7dede, hand_type: TwoPair, bid: 664}
Hand { string: 7ATT7, score: 7eaa7, hand_type: TwoPair, bid: 260}
Hand { string: 82TT2, score: 82aa2, hand_type: TwoPair, bid: 220}
Hand { string: 84877, score: 84877, hand_type: TwoPair, bid: 804}
Hand { string: 85822, score: 85822, hand_type: TwoPair, bid: 102}
Hand { string: 86644, score: 86644, hand_type: TwoPair, bid: 993}
Hand { string: 88656, score: 88656, hand_type: TwoPair, bid: 657}
Hand { string: 8899T, score: 8899a, hand_type: TwoPair, bid: 979}
Hand { string: 8Q55Q, score: 8c55c, hand_type: TwoPair, bid: 516}
Hand { string: 8K668, score: 8d668, hand_type: TwoPair, bid: 113}
Hand { string: 8K8K2, score: 8d8d2, hand_type: TwoPair, bid: 51}
Hand { string: 8AA48, score: 8ee48, hand_type: TwoPair, bid: 195}
Hand { string: 922QQ, score: 922cc, hand_type: TwoPair, bid: 733}
Hand { string: 92KK9, score: 92dd9, hand_type: TwoPair, bid: 374}
Hand { string: 93838, score: 93838, hand_type: TwoPair, bid: 570}
Hand { string: 94477, score: 94477, hand_type: TwoPair, bid: 768}
Hand { string: 96896, score: 96896, hand_type: TwoPair, bid: 536}
Hand { string: 969TT, score: 969aa, hand_type: TwoPair, bid: 203}
Hand { string: 97739, score: 97739, hand_type: TwoPair, bid: 483}
Hand { string: 99636, score: 99636, hand_type: TwoPair, bid: 991}
Hand { string: 99K4K, score: 99d4d, hand_type: TwoPair, bid: 508}
Hand { string: 99K88, score: 99d88, hand_type: TwoPair, bid: 364}
Hand { string: 9T2T9, score: 9a2a9, hand_type: TwoPair, bid: 848}
Hand { string: 9AQQA, score: 9ecce, hand_type: TwoPair, bid: 611}
Hand { string: T2299, score: a2299, hand_type: TwoPair, bid: 266}
Hand { string: T3KKT, score: a3dda, hand_type: TwoPair, bid: 294}
Hand { string: T7878, score: a7878, hand_type: TwoPair, bid: 518}
Hand { string: T8822, score: a8822, hand_type: TwoPair, bid: 211}
Hand { string: T8844, score: a8844, hand_type: TwoPair, bid: 163}
Hand { string: T898T, score: a898a, hand_type: TwoPair, bid: 124}
Hand { string: TT464, score: aa464, hand_type: TwoPair, bid: 786}
Hand { string: TQQT3, score: acca3, hand_type: TwoPair, bid: 803}
Hand { string: TKTAA, score: adaee, hand_type: TwoPair, bid: 553}
Hand { string: TAT55, score: aea55, hand_type: TwoPair, bid: 866}
Hand { string: Q2772, score: c2772, hand_type: TwoPair, bid: 400}
Hand { string: Q5Q66, score: c5c66, hand_type: TwoPair, bid: 137}
Hand { string: Q5QAA, score: c5cee, hand_type: TwoPair, bid: 303}
Hand { string: Q6622, score: c6622, hand_type: TwoPair, bid: 935}
Hand { string: QQ5K5, score: cc5d5, hand_type: TwoPair, bid: 199}
Hand { string: QQK2K, score: ccd2d, hand_type: TwoPair, bid: 101}
Hand { string: QQAA7, score: ccee7, hand_type: TwoPair, bid: 677}
Hand { string: QK7K7, score: cd7d7, hand_type: TwoPair, bid: 829}
Hand { string: QKAQK, score: cdecd, hand_type: TwoPair, bid: 682}
Hand { string: K44KT, score: d44da, hand_type: TwoPair, bid: 60}
Hand { string: K7878, score: d7878, hand_type: TwoPair, bid: 494}
Hand { string: K7K57, score: d7d57, hand_type: TwoPair, bid: 987}
Hand { string: K898K, score: d898d, hand_type: TwoPair, bid: 966}
Hand { string: KQK8Q, score: dcd8c, hand_type: TwoPair, bid: 409}
Hand { string: KK855, score: dd855, hand_type: TwoPair, bid: 239}
Hand { string: KK88Q, score: dd88c, hand_type: TwoPair, bid: 596}
Hand { string: KAA99, score: dee99, hand_type: TwoPair, bid: 243}
Hand { string: A4848, score: e4848, hand_type: TwoPair, bid: 604}
Hand { string: A4TAT, score: e4aea, hand_type: TwoPair, bid: 524}
Hand { string: A4AQQ, score: e4ecc, hand_type: TwoPair, bid: 581}
Hand { string: A5A75, score: e5e75, hand_type: TwoPair, bid: 827}
Hand { string: A66A8, score: e66e8, hand_type: TwoPair, bid: 834}
Hand { string: A766A, score: e766e, hand_type: TwoPair, bid: 865}
Hand { string: AA224, score: ee224, hand_type: TwoPair, bid: 144}
Hand { string: AATT5, score: eeaa5, hand_type: TwoPair, bid: 23}
Hand { string: AATT7, score: eeaa7, hand_type: TwoPair, bid: 194}
Hand { string: JJ6TK, score: 116ad, hand_type: ThreeOfAKind, bid: 327}
Hand { string: J2QQ6, score: 12cc6, hand_type: ThreeOfAKind, bid: 328}
Hand { string: J424K, score: 1424d, hand_type: ThreeOfAKind, bid: 739}
Hand { string: J466A, score: 1466e, hand_type: ThreeOfAKind, bid: 70}
Hand { string: J497J, score: 14971, hand_type: ThreeOfAKind, bid: 108}
Hand { string: J4Q7J, score: 14c71, hand_type: ThreeOfAKind, bid: 58}
Hand { string: J4Q88, score: 14c88, hand_type: ThreeOfAKind, bid: 852}
Hand { string: J5JK7, score: 151d7, hand_type: ThreeOfAKind, bid: 676}
Hand { string: J523J, score: 15231, hand_type: ThreeOfAKind, bid: 695}
Hand { string: J6ATJ, score: 16ea1, hand_type: ThreeOfAKind, bid: 910}
Hand { string: J7257, score: 17257, hand_type: ThreeOfAKind, bid: 337}
Hand { string: J8298, score: 18298, hand_type: ThreeOfAKind, bid: 571}
Hand { string: J854J, score: 18541, hand_type: ThreeOfAKind, bid: 535}
Hand { string: J8584, score: 18584, hand_type: ThreeOfAKind, bid: 485}
Hand { string: J898K, score: 1898d, hand_type: ThreeOfAKind, bid: 448}
Hand { string: J9633, score: 19633, hand_type: ThreeOfAKind, bid: 182}
Hand { string: J9646, score: 19646, hand_type: ThreeOfAKind, bid: 493}
Hand { string: J9T3J, score: 19a31, hand_type: ThreeOfAKind, bid: 673}
Hand { string: J9TK9, score: 19ad9, hand_type: ThreeOfAKind, bid: 815}
Hand { string: J9AJ8, score: 19e18, hand_type: ThreeOfAKind, bid: 883}
Hand { string: JTJ95, score: 1a195, hand_type: ThreeOfAKind, bid: 823}
Hand { string: JTT87, score: 1aa87, hand_type: ThreeOfAKind, bid: 513}
Hand { string: JQ4K4, score: 1c4d4, hand_type: ThreeOfAKind, bid: 48}
Hand { string: JQKK2, score: 1cdd2, hand_type: ThreeOfAKind, bid: 891}
Hand { string: JKJT7, score: 1d1a7, hand_type: ThreeOfAKind, bid: 105}
Hand { string: JA69A, score: 1e69e, hand_type: ThreeOfAKind, bid: 934}
Hand { string: JAQQ5, score: 1ecc5, hand_type: ThreeOfAKind, bid: 652}
Hand { string: JAA24, score: 1ee24, hand_type: ThreeOfAKind, bid: 862}
Hand { string: 2J884, score: 21884, hand_type: ThreeOfAKind, bid: 246}
Hand { string: 2J99T, score: 2199a, hand_type: ThreeOfAKind, bid: 228}
Hand { string: 22279, score: 22279, hand_type: ThreeOfAKind, bid: 818}
Hand { string: 22293, score: 22293, hand_type: ThreeOfAKind, bid: 478}
Hand { string: 222A5, score: 222e5, hand_type: ThreeOfAKind, bid: 693}
Hand { string: 22Q2K, score: 22c2d, hand_type: ThreeOfAKind, bid: 432}
Hand { string: 22QA2, score: 22ce2, hand_type: ThreeOfAKind, bid: 744}
Hand { string: 23KJK, score: 23d1d, hand_type: ThreeOfAKind, bid: 988}
Hand { string: 25272, score: 25272, hand_type: ThreeOfAKind, bid: 567}
Hand { string: 2555A, score: 2555e, hand_type: ThreeOfAKind, bid: 660}
Hand { string: 26223, score: 26223, hand_type: ThreeOfAKind, bid: 423}
Hand { string: 26422, score: 26422, hand_type: ThreeOfAKind, bid: 173}
Hand { string: 26822, score: 26822, hand_type: ThreeOfAKind, bid: 462}
Hand { string: 27AJA, score: 27e1e, hand_type: ThreeOfAKind, bid: 29}
Hand { string: 28J66, score: 28166, hand_type: ThreeOfAKind, bid: 317}
Hand { string: 2T666, score: 2a666, hand_type: ThreeOfAKind, bid: 233}
Hand { string: 2KJK6, score: 2d1d6, hand_type: ThreeOfAKind, bid: 607}
Hand { string: 2K228, score: 2d228, hand_type: ThreeOfAKind, bid: 545}
Hand { string: 2A262, score: 2e262, hand_type: ThreeOfAKind, bid: 238}
Hand { string: 3JA55, score: 31e55, hand_type: ThreeOfAKind, bid: 552}
Hand { string: 32JQ2, score: 321c2, hand_type: ThreeOfAKind, bid: 264}
Hand { string: 33J4A, score: 3314e, hand_type: ThreeOfAKind, bid: 857}
Hand { string: 33238, score: 33238, hand_type: ThreeOfAKind, bid: 683}
Hand { string: 3323K, score: 3323d, hand_type: ThreeOfAKind, bid: 141}
Hand { string: 337Q3, score: 337c3, hand_type: ThreeOfAKind, bid: 114}
Hand { string: 338K3, score: 338d3, hand_type: ThreeOfAKind, bid: 151}
Hand { string: 33Q35, score: 33c35, hand_type: ThreeOfAKind, bid: 150}
Hand { string: 33K8J, score: 33d81, hand_type: ThreeOfAKind, bid: 696}
Hand { string: 34J74, score: 34174, hand_type: ThreeOfAKind, bid: 206}
Hand { string: 35JT3, score: 351a3, hand_type: ThreeOfAKind, bid: 428}
Hand { string: 355Q5, score: 355c5, hand_type: ThreeOfAKind, bid: 844}
Hand { string: 363JK, score: 3631d, hand_type: ThreeOfAKind, bid: 546}
Hand { string: 373T3, score: 373a3, hand_type: ThreeOfAKind, bid: 912}
Hand { string: 3Q6QJ, score: 3c6c1, hand_type: ThreeOfAKind, bid: 962}
Hand { string: 3QQQ4, score: 3ccc4, hand_type: ThreeOfAKind, bid: 207}
Hand { string: 3A533, score: 3e533, hand_type: ThreeOfAKind, bid: 283}
Hand { string: 4JA84, score: 41e84, hand_type: ThreeOfAKind, bid: 237}
Hand { string: 42944, score: 42944, hand_type: ThreeOfAKind, bid: 397}
Hand { string: 444TK, score: 444ad, hand_type: ThreeOfAKind, bid: 845}
Hand { string: 444A7, score: 444e7, hand_type: ThreeOfAKind, bid: 357}
Hand { string: 448J9, score: 44819, hand_type: ThreeOfAKind, bid: 792}
Hand { string: 44K46, score: 44d46, hand_type: ThreeOfAKind, bid: 809}
Hand { string: 4666T, score: 4666a, hand_type: ThreeOfAKind, bid: 724}
Hand { string: 47TJT, score: 47a1a, hand_type: ThreeOfAKind, bid: 75}
Hand { string: 4TJ99, score: 4a199, hand_type: ThreeOfAKind, bid: 957}
Hand { string: 4T4AJ, score: 4a4e1, hand_type: ThreeOfAKind, bid: 915}
Hand { string: 4TTT7, score: 4aaa7, hand_type: ThreeOfAKind, bid: 507}
Hand { string: 4Q454, score: 4c454, hand_type: ThreeOfAKind, bid: 947}
Hand { string: 4A4K4, score: 4e4d4, hand_type: ThreeOfAKind, bid: 738}
Hand { string: 4A77J, score: 4e771, hand_type: ThreeOfAKind, bid: 278}
Hand { string: 4A944, score: 4e944, hand_type: ThreeOfAKind, bid: 972}
Hand { string: 5J5QT, score: 515ca, hand_type: ThreeOfAKind, bid: 807}
Hand { string: 5J8JQ, score: 5181c, hand_type: ThreeOfAKind, bid: 763}
Hand { string: 52558, score: 52558, hand_type: ThreeOfAKind, bid: 9}
Hand { string: 54J6J, score: 54161, hand_type: ThreeOfAKind, bid: 820}
Hand { string: 54844, score: 54844, hand_type: ThreeOfAKind, bid: 245}
Hand { string: 5552Q, score: 5552c, hand_type: ThreeOfAKind, bid: 761}
Hand { string: 55562, score: 55562, hand_type: ThreeOfAKind, bid: 700}
Hand { string: 55765, score: 55765, hand_type: ThreeOfAKind, bid: 20}
Hand { string: 557A5, score: 557e5, hand_type: ThreeOfAKind, bid: 718}
Hand { string: 559KJ, score: 559d1, hand_type: ThreeOfAKind, bid: 565}
Hand { string: 55A95, score: 55e95, hand_type: ThreeOfAKind, bid: 705}
Hand { string: 582JJ, score: 58211, hand_type: ThreeOfAKind, bid: 421}
Hand { string: 5TA5J, score: 5ae51, hand_type: ThreeOfAKind, bid: 741}
Hand { string: 5QKJK, score: 5cd1d, hand_type: ThreeOfAKind, bid: 212}
Hand { string: 5K255, score: 5d255, hand_type: ThreeOfAKind, bid: 208}
Hand { string: 6JQAJ, score: 61ce1, hand_type: ThreeOfAKind, bid: 61}
Hand { string: 65595, score: 65595, hand_type: ThreeOfAKind, bid: 405}
Hand { string: 65KJ6, score: 65d16, hand_type: ThreeOfAKind, bid: 889}
Hand { string: 6646Q, score: 6646c, hand_type: ThreeOfAKind, bid: 632}
Hand { string: 66568, score: 66568, hand_type: ThreeOfAKind, bid: 939}
Hand { string: 6656T, score: 6656a, hand_type: ThreeOfAKind, bid: 176}
Hand { string: 66659, score: 66659, hand_type: ThreeOfAKind, bid: 197}
Hand { string: 6667T, score: 6667a, hand_type: ThreeOfAKind, bid: 107}
Hand { string: 666Q8, score: 666c8, hand_type: ThreeOfAKind, bid: 589}
Hand { string: 66TJA, score: 66a1e, hand_type: ThreeOfAKind, bid: 893}
Hand { string: 66A96, score: 66e96, hand_type: ThreeOfAKind, bid: 699}
Hand { string: 66AK6, score: 66ed6, hand_type: ThreeOfAKind, bid: 259}
Hand { string: 67757, score: 67757, hand_type: ThreeOfAKind, bid: 846}
Hand { string: 67Q7J, score: 67c71, hand_type: ThreeOfAKind, bid: 445}
Hand { string: 68JJ9, score: 68119, hand_type: ThreeOfAKind, bid: 2}
Hand { string: 687J7, score: 68717, hand_type: ThreeOfAKind, bid: 770}
Hand { string: 68QQQ, score: 68ccc, hand_type: ThreeOfAKind, bid: 650}
Hand { string: 692J9, score: 69219, hand_type: ThreeOfAKind, bid: 932}
Hand { string: 69466, score: 69466, hand_type: ThreeOfAKind, bid: 132}
Hand { string: 69KJ6, score: 69d16, hand_type: ThreeOfAKind, bid: 674}
Hand { string: 6Q999, score: 6c999, hand_type: ThreeOfAKind, bid: 45}
Hand { string: 6QQQ7, score: 6ccc7, hand_type: ThreeOfAKind, bid: 185}
Hand { string: 6AT66, score: 6ea66, hand_type: ThreeOfAKind, bid: 616}
Hand { string: 7JJK9, score: 711d9, hand_type: ThreeOfAKind, bid: 349}
Hand { string: 7J673, score: 71673, hand_type: ThreeOfAKind, bid: 573}
Hand { string: 7JT78, score: 71a78, hand_type: ThreeOfAKind, bid: 903}
Hand { string: 72822, score: 72822, hand_type: ThreeOfAKind, bid: 179}
Hand { string: 75535, score: 75535, hand_type: ThreeOfAKind, bid: 14}
Hand { string: 76JK7, score: 761d7, hand_type: ThreeOfAKind, bid: 109}
Hand { string: 76747, score: 76747, hand_type: ThreeOfAKind, bid: 38}
Hand { string: 77J62, score: 77162, hand_type: ThreeOfAKind, bid: 728}
Hand { string: 77374, score: 77374, hand_type: ThreeOfAKind, bid: 482}
Hand { string: 77587, score: 77587, hand_type: ThreeOfAKind, bid: 350}
Hand { string: 77748, score: 77748, hand_type: ThreeOfAKind, bid: 502}
Hand { string: 788Q8, score: 788c8, hand_type: ThreeOfAKind, bid: 973}
Hand { string: 797Q7, score: 797c7, hand_type: ThreeOfAKind, bid: 563}
Hand { string: 799AJ, score: 799e1, hand_type: ThreeOfAKind, bid: 925}
Hand { string: 7K477, score: 7d477, hand_type: ThreeOfAKind, bid: 790}
Hand { string: 7K577, score: 7d577, hand_type: ThreeOfAKind, bid: 911}
Hand { string: 7K773, score: 7d773, hand_type: ThreeOfAKind, bid: 799}
Hand { string: 7A779, score: 7e779, hand_type: ThreeOfAKind, bid: 994}
Hand { string: 8J268, score: 81268, hand_type: ThreeOfAKind, bid: 907}
Hand { string: 8J7Q8, score: 817c8, hand_type: ThreeOfAKind, bid: 533}
Hand { string: 8J969, score: 81969, hand_type: ThreeOfAKind, bid: 651}
Hand { string: 8JQT8, score: 81ca8, hand_type: ThreeOfAKind, bid: 201}
Hand { string: 83733, score: 83733, hand_type: ThreeOfAKind, bid: 302}
Hand { string: 85878, score: 85878, hand_type: ThreeOfAKind, bid: 585}
Hand { string: 85A55, score: 85e55, hand_type: ThreeOfAKind, bid: 687}
Hand { string: 87JA8, score: 871e8, hand_type: ThreeOfAKind, bid: 155}
Hand { string: 885J6, score: 88516, hand_type: ThreeOfAKind, bid: 77}
Hand { string: 88598, score: 88598, hand_type: ThreeOfAKind, bid: 896}
Hand { string: 88728, score: 88728, hand_type: ThreeOfAKind, bid: 241}
Hand { string: 88AJ5, score: 88e15, hand_type: ThreeOfAKind, bid: 321}
Hand { string: 89997, score: 89997, hand_type: ThreeOfAKind, bid: 469}
Hand { string: 89TJ8, score: 89a18, hand_type: ThreeOfAKind, bid: 293}
Hand { string: 8T5J5, score: 8a515, hand_type: ThreeOfAKind, bid: 769}
Hand { string: 8T555, score: 8a555, hand_type: ThreeOfAKind, bid: 15}
Hand { string: 8Q4JQ, score: 8c41c, hand_type: ThreeOfAKind, bid: 619}
Hand { string: 8Q882, score: 8c882, hand_type: ThreeOfAKind, bid: 648}
Hand { string: 9J49Q, score: 9149c, hand_type: ThreeOfAKind, bid: 152}
Hand { string: 9226J, score: 92261, hand_type: ThreeOfAKind, bid: 346}
Hand { string: 922Q2, score: 922c2, hand_type: ThreeOfAKind, bid: 413}
Hand { string: 9299Q, score: 9299c, hand_type: ThreeOfAKind, bid: 872}
Hand { string: 93888, score: 93888, hand_type: ThreeOfAKind, bid: 984}
Hand { string: 943J4, score: 94314, hand_type: ThreeOfAKind, bid: 948}
Hand { string: 94AAJ, score: 94ee1, hand_type: ThreeOfAKind, bid: 140}
Hand { string: 9555K, score: 9555d, hand_type: ThreeOfAKind, bid: 319}
Hand { string: 95939, score: 95939, hand_type: ThreeOfAKind, bid: 789}
Hand { string: 97J88, score: 97188, hand_type: ThreeOfAKind, bid: 488}
Hand { string: 9729J, score: 97291, hand_type: ThreeOfAKind, bid: 901}
Hand { string: 9T998, score: 9a998, hand_type: ThreeOfAKind, bid: 82}
Hand { string: 9KJJ5, score: 9d115, hand_type: ThreeOfAKind, bid: 373}
Hand { string: 9KJ3K, score: 9d13d, hand_type: ThreeOfAKind, bid: 200}
Hand { string: 9KAKK, score: 9dedd, hand_type: ThreeOfAKind, bid: 574}
Hand { string: TJT23, score: a1a23, hand_type: ThreeOfAKind, bid: 334}
Hand { string: T23J2, score: a2312, hand_type: ThreeOfAKind, bid: 617}
Hand { string: T2822, score: a2822, hand_type: ThreeOfAKind, bid: 376}
Hand { string: T4442, score: a4442, hand_type: ThreeOfAKind, bid: 549}
Hand { string: T4TQT, score: a4aca, hand_type: ThreeOfAKind, bid: 64}
Hand { string: T4A44, score: a4e44, hand_type: ThreeOfAKind, bid: 135}
Hand { string: T54TT, score: a54aa, hand_type: ThreeOfAKind, bid: 821}
Hand { string: T6QTT, score: a6caa, hand_type: ThreeOfAKind, bid: 954}
Hand { string: T85TT, score: a85aa, hand_type: ThreeOfAKind, bid: 937}
Hand { string: TT32T, score: aa32a, hand_type: ThreeOfAKind, bid: 798}
Hand { string: TT8TQ, score: aa8ac, hand_type: ThreeOfAKind, bid: 26}
Hand { string: TTQT7, score: aaca7, hand_type: ThreeOfAKind, bid: 686}
Hand { string: TK2JT, score: ad21a, hand_type: ThreeOfAKind, bid: 291}
Hand { string: TK3TJ, score: ad3a1, hand_type: ThreeOfAKind, bid: 642}
Hand { string: TK999, score: ad999, hand_type: ThreeOfAKind, bid: 895}
Hand { string: TKK6K, score: add6d, hand_type: ThreeOfAKind, bid: 794}
Hand { string: TKKKA, score: addde, hand_type: ThreeOfAKind, bid: 751}
Hand { string: QJ5K5, score: c15d5, hand_type: ThreeOfAKind, bid: 12}
Hand { string: QJQA2, score: c1ce2, hand_type: ThreeOfAKind, bid: 500}
Hand { string: Q24J4, score: c2414, hand_type: ThreeOfAKind, bid: 542}
Hand { string: Q4J33, score: c4133, hand_type: ThreeOfAKind, bid: 446}
Hand { string: Q6888, score: c6888, hand_type: ThreeOfAKind, bid: 59}
Hand { string: Q75QQ, score: c75cc, hand_type: ThreeOfAKind, bid: 995}
Hand { string: Q8848, score: c8848, hand_type: ThreeOfAKind, bid: 345}
Hand { string: Q96QQ, score: c96cc, hand_type: ThreeOfAKind, bid: 189}
Hand { string: Q97J7, score: c9717, hand_type: ThreeOfAKind, bid: 740}
Hand { string: QQ7J3, score: cc713, hand_type: ThreeOfAKind, bid: 93}
Hand { string: QQ8QK, score: cc8cd, hand_type: ThreeOfAKind, bid: 812}
Hand { string: QQQ32, score: ccc32, hand_type: ThreeOfAKind, bid: 13}
Hand { string: QQQ48, score: ccc48, hand_type: ThreeOfAKind, bid: 547}
Hand { string: QA4QQ, score: ce4cc, hand_type: ThreeOfAKind, bid: 103}
Hand { string: KJ949, score: d1949, hand_type: ThreeOfAKind, bid: 437}
Hand { string: K25KK, score: d25dd, hand_type: ThreeOfAKind, bid: 181}
Hand { string: K2KK6, score: d2dd6, hand_type: ThreeOfAKind, bid: 408}
Hand { string: K3JK7, score: d31d7, hand_type: ThreeOfAKind, bid: 766}
Hand { string: K3393, score: d3393, hand_type: ThreeOfAKind, bid: 10}
Hand { string: K37J7, score: d3717, hand_type: ThreeOfAKind, bid: 851}
Hand { string: K3A33, score: d3e33, hand_type: ThreeOfAKind, bid: 801}
Hand { string: K433J, score: d4331, hand_type: ThreeOfAKind, bid: 196}
Hand { string: K7277, score: d7277, hand_type: ThreeOfAKind, bid: 992}
Hand { string: K7KQK, score: d7dcd, hand_type: ThreeOfAKind, bid: 808}
Hand { string: K8JJ9, score: d8119, hand_type: ThreeOfAKind, bid: 277}
Hand { string: K83KK, score: d83dd, hand_type: ThreeOfAKind, bid: 952}
Hand { string: K8KTK, score: d8dad, hand_type: ThreeOfAKind, bid: 732}
Hand { string: K9949, score: d9949, hand_type: ThreeOfAKind, bid: 506}
Hand { string: KQQ4Q, score: dcc4c, hand_type: ThreeOfAKind, bid: 922}
Hand { string: KQK5K, score: dcd5d, hand_type: ThreeOfAKind, bid: 691}
Hand { string: KQKK4, score: dcdd4, hand_type: ThreeOfAKind, bid: 697}
Hand { string: KQKK6, score: dcdd6, hand_type: ThreeOfAKind, bid: 3}
Hand { string: KKJ8Q, score: dd18c, hand_type: ThreeOfAKind, bid: 434}
Hand { string: KKK36, score: ddd36, hand_type: ThreeOfAKind, bid: 980}
Hand { string: KKKA3, score: ddde3, hand_type: ThreeOfAKind, bid: 142}
Hand { string: KAJJ9, score: de119, hand_type: ThreeOfAKind, bid: 121}
Hand { string: KA2AA, score: de2ee, hand_type: ThreeOfAKind, bid: 913}
Hand { string: AJJTK, score: e11ad, hand_type: ThreeOfAKind, bid: 576}
Hand { string: AJ5A3, score: e15e3, hand_type: ThreeOfAKind, bid: 675}
Hand { string: A2T22, score: e2a22, hand_type: ThreeOfAKind, bid: 548}
Hand { string: A2TTT, score: e2aaa, hand_type: ThreeOfAKind, bid: 771}
Hand { string: A2KJK, score: e2d1d, hand_type: ThreeOfAKind, bid: 471}
Hand { string: A3833, score: e3833, hand_type: ThreeOfAKind, bid: 306}
Hand { string: A4888, score: e4888, hand_type: ThreeOfAKind, bid: 188}
Hand { string: A4A7A, score: e4e7e, hand_type: ThreeOfAKind, bid: 943}
Hand { string: A5KKJ, score: e5dd1, hand_type: ThreeOfAKind, bid: 84}
Hand { string: A5A7A, score: e5e7e, hand_type: ThreeOfAKind, bid: 579}
Hand { string: A5AAK, score: e5eed, hand_type: ThreeOfAKind, bid: 44}
Hand { string: A7JA4, score: e71e4, hand_type: ThreeOfAKind, bid: 501}
Hand { string: A7AJK, score: e7e1d, hand_type: ThreeOfAKind, bid: 654}
Hand { string: A9J5A, score: e915e, hand_type: ThreeOfAKind, bid: 755}
Hand { string: AQ2AA, score: ec2ee, hand_type: ThreeOfAKind, bid: 120}
Hand { string: AQA9J, score: ece91, hand_type: ThreeOfAKind, bid: 940}
Hand { string: AKATA, score: edeae, hand_type: ThreeOfAKind, bid: 464}
Hand { string: AKAQA, score: edece, hand_type: ThreeOfAKind, bid: 323}
Hand { string: AAJ39, score: ee139, hand_type: ThreeOfAKind, bid: 65}
Hand { string: AA6J4, score: ee614, hand_type: ThreeOfAKind, bid: 717}
Hand { string: AA76J, score: ee761, hand_type: ThreeOfAKind, bid: 68}
Hand { string: AAQA7, score: eece7, hand_type: ThreeOfAKind, bid: 785}
Hand { string: AAA35, score: eee35, hand_type: ThreeOfAKind, bid: 706}
Hand { string: AAAT3, score: eeea3, hand_type: ThreeOfAKind, bid: 826}
Hand { string: J4884, score: 14884, hand_type: FullHouse, bid: 174}
Hand { string: JKTTK, score: 1daad, hand_type: FullHouse, bid: 647}
Hand { string: JKQQK, score: 1dccd, hand_type: FullHouse, bid: 285}
Hand { string: JKK44, score: 1dd44, hand_type: FullHouse, bid: 856}
Hand { string: JAA88, score: 1ee88, hand_type: FullHouse, bid: 923}
Hand { string: 22244, score: 22244, hand_type: FullHouse, bid: 205}
Hand { string: 22266, score: 22266, hand_type: FullHouse, bid: 779}
Hand { string: 22QQQ, score: 22ccc, hand_type: FullHouse, bid: 234}
Hand { string: 22KKK, score: 22ddd, hand_type: FullHouse, bid: 119}
Hand { string: 22AAA, score: 22eee, hand_type: FullHouse, bid: 34}
Hand { string: 25255, score: 25255, hand_type: FullHouse, bid: 381}
Hand { string: 26662, score: 26662, hand_type: FullHouse, bid: 688}
Hand { string: 29992, score: 29992, hand_type: FullHouse, bid: 511}
Hand { string: 2TJ2T, score: 2a12a, hand_type: FullHouse, bid: 36}
Hand { string: 2A2A2, score: 2e2e2, hand_type: FullHouse, bid: 282}
Hand { string: 33232, score: 33232, hand_type: FullHouse, bid: 510}
Hand { string: 33366, score: 33366, hand_type: FullHouse, bid: 863}
Hand { string: 33399, score: 33399, hand_type: FullHouse, bid: 841}
Hand { string: 33553, score: 33553, hand_type: FullHouse, bid: 112}
Hand { string: 33666, score: 33666, hand_type: FullHouse, bid: 122}
Hand { string: 33TT3, score: 33aa3, hand_type: FullHouse, bid: 343}
Hand { string: 33AAA, score: 33eee, hand_type: FullHouse, bid: 909}
Hand { string: 39939, score: 39939, hand_type: FullHouse, bid: 854}
Hand { string: 3TT3T, score: 3aa3a, hand_type: FullHouse, bid: 5}
Hand { string: 4J949, score: 41949, hand_type: FullHouse, bid: 440}
Hand { string: 44422, score: 44422, hand_type: FullHouse, bid: 629}
Hand { string: 44466, score: 44466, hand_type: FullHouse, bid: 849}
Hand { string: 44477, score: 44477, hand_type: FullHouse, bid: 470}
Hand { string: 44848, score: 44848, hand_type: FullHouse, bid: 499}
Hand { string: 4KKK4, score: 4ddd4, hand_type: FullHouse, bid: 963}
Hand { string: 5454J, score: 54541, hand_type: FullHouse, bid: 690}
Hand { string: 55JKK, score: 551dd, hand_type: FullHouse, bid: 225}
Hand { string: 55656, score: 55656, hand_type: FullHouse, bid: 43}
Hand { string: 55757, score: 55757, hand_type: FullHouse, bid: 670}
Hand { string: 55Q5Q, score: 55c5c, hand_type: FullHouse, bid: 559}
Hand { string: 566J5, score: 56615, hand_type: FullHouse, bid: 287}
Hand { string: 59599, score: 59599, hand_type: FullHouse, bid: 618}
Hand { string: 6JA6A, score: 61e6e, hand_type: FullHouse, bid: 209}
Hand { string: 66677, score: 66677, hand_type: FullHouse, bid: 50}
Hand { string: 66TT6, score: 66aa6, hand_type: FullHouse, bid: 415}
Hand { string: 6969J, score: 69691, hand_type: FullHouse, bid: 126}
Hand { string: 6K66K, score: 6d66d, hand_type: FullHouse, bid: 104}
Hand { string: 6A6AA, score: 6e6ee, hand_type: FullHouse, bid: 783}
Hand { string: 7JKK7, score: 71dd7, hand_type: FullHouse, bid: 117}
Hand { string: 73773, score: 73773, hand_type: FullHouse, bid: 271}
Hand { string: 77JAA, score: 771ee, hand_type: FullHouse, bid: 461}
Hand { string: 77227, score: 77227, hand_type: FullHouse, bid: 824}
Hand { string: 7QQ77, score: 7cc77, hand_type: FullHouse, bid: 41}
Hand { string: 82822, score: 82822, hand_type: FullHouse, bid: 539}
